,Player,Values,Nation,Team,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xGA/90,GA90,Save%,CS%,PSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,SCmp%,MCmp%,LCmpt%,KP,1/3(passing),PPA,CrsPA,PrgP(passing),SCA,SCA90,GCA,GCA90,Tkl,TklW,Att(defense),Lost(defense),Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att(possession),Succ%,Tkld%,Carries,PrgDist,PrgC(possession),1/3(possession),CPA,Mis,Dis,Rec,PrgR(possession),Fls,Fld,Off,Crs,Recov,Won,Lost,Won%
174,James Garner,€23.2M,eng ENG,Everton,"MF,DF",24-045,17,13,1234.0,0,1,3,0,0.3,1.3,10,38,22,0.0,0.07,0.02,0.09,N/a,N/a,N/a,N/a,28.6,0.15,0.00,24.1,434,72.8,7598,83.6,82.3,44.7,11,39,5,2,38,30,2.19,4,0.29,37,23,33,16,14,3,11,16,734,32,187,360,194,9,16,37.5,62.5,336,578,10,13,1,11,7,386,22,16,12,0,50,60,10,8,55.6
175,Emiliano Martínez,€23M,ar ARG,Aston Villa,GK,32-237,33,33,2880.0,0,0,4,0,0.0,0.5,0,3,0,0.0,0.0,0.0,0.02,1.41,65.9,15.2,50.0,N/a,0.0,N/a,N/a,986,79.0,25707,97.8,98.1,49.9,2,21,0,0,3,6,0.19,1,0.03,3,3,2,0,1,0,1,0,1307,990,1292,15,0,0,1,100.0,0.0,794,2586,0,0,0,1,0,718,0,1,5,0,0,28,8,1,88.9
176,Dean Henderson,€22.7M,eng ENG,Crystal Palace,GK,28-046,34,34,3060.0,0,0,3,0,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,1.38,66.9,29.4,50.0,0.0,0.0,0.00,14.9,672,61.8,18496,99.4,99.4,31.3,2,20,1,0,0,3,0.09,0,0.0,2,1,6,4,0,0,0,0,1173,954,1169,3,1,1,0,N/a,N/a,674,1919,0,0,0,2,0,510,0,0,0,0,0,25,11,1,91.7
177,Neco Williams,€22.6M,wls WAL,Nott'ham Forest,DF,24-014,30,23,2144.0,1,2,5,0,2.2,1.4,54,70,81,0.04,0.13,0.09,0.06,N/a,N/a,N/a,N/a,18.8,0.25,0.03,19.7,647,75.2,9805,89.4,72.1,40.5,14,50,17,7,70,40,1.68,5,0.21,73,44,68,25,37,8,29,24,1231,136,450,437,359,35,39,38.5,43.6,492,1685,54,26,14,23,15,570,81,20,34,1,40,84,34,25,57.6
178,Mateus Fernandes,€22.5M,pt POR,Southampton,MF,20-291,32,30,2584.0,2,3,8,0,3.8,2.6,72,130,99,0.07,0.17,0.13,0.09,N/a,N/a,N/a,N/a,36.8,0.49,0.05,18.6,975,79.7,16484,87.9,85.3,54.9,30,89,21,4,130,68,2.37,6,0.21,81,43,60,31,39,5,34,20,1573,57,335,771,503,45,95,45.3,46.3,813,2922,72,65,8,50,33,975,99,40,52,3,102,162,13,9,59.1
179,Vitaly Janelt,€22.2M,de GER,Brentford,MF,26-352,32,27,2254.0,1,3,3,0,0.8,2.2,17,80,38,0.04,0.16,0.03,0.09,N/a,N/a,N/a,N/a,28.6,0.16,0.07,17.7,872,82.5,14466,90.6,85.4,55.9,14,78,23,7,80,32,1.28,3,0.12,38,22,36,15,33,9,24,27,1289,118,418,574,306,32,12,25.0,58.3,652,1278,17,18,3,16,10,814,38,24,15,1,30,107,19,11,63.3
180,Dara O'Shea,€21.8M,ie IRL,Ipswich Town,DF,26-054,31,31,2762.0,0,2,6,0,1.1,0.5,3,70,7,0.0,0.07,0.04,0.02,N/a,N/a,N/a,N/a,10.5,0.07,0.00,13.7,1083,77.6,21620,86.4,84.8,50.4,3,81,3,1,70,20,0.65,3,0.1,45,28,30,11,59,47,12,31,1797,359,1045,644,113,47,2,50.0,50.0,795,1713,3,2,0,11,4,1018,7,16,22,3,6,98,100,76,56.8
181,John McGinn,€21.6M,sct SCO,Aston Villa,"MF,FW",30-191,30,24,1992.0,1,3,7,0,2.9,3.4,30,90,70,0.05,0.18,0.13,0.15,N/a,N/a,N/a,N/a,19.2,0.23,0.04,16.2,635,82.8,10675,91.6,86.5,59.8,27,60,27,7,90,66,2.98,6,0.27,31,22,26,15,20,2,18,14,965,27,154,514,307,52,43,39.5,27.9,530,1142,30,16,6,33,25,677,70,43,63,3,50,92,15,10,60.0
182,Kristoffer Ajer,€21.5M,no NOR,Brentford,DF,27-010,20,17,1388.0,0,0,4,0,0.8,1.2,27,52,42,0.0,0.0,0.05,0.08,N/a,N/a,N/a,N/a,37.5,0.19,0.00,10.2,482,78.2,7521,86.8,79.7,49.1,8,41,7,4,52,18,1.17,2,0.13,24,16,26,12,17,4,13,12,762,51,255,355,158,35,16,43.8,50.0,373,1164,27,11,2,15,12,475,42,11,6,1,14,41,27,22,55.1
183,Yasin Ayari,€21.5M,se SWE,Brighton,MF,21-203,30,19,1737.0,1,1,3,0,2.2,2.2,31,67,59,0.05,0.1,0.12,0.11,N/a,N/a,N/a,N/a,28.0,0.36,0.04,19.0,708,81.6,10704,91.9,85.2,38.9,28,51,17,4,67,58,3.0,6,0.31,53,30,50,30,22,6,16,19,1101,52,244,556,317,43,41,41.5,36.6,570,1401,31,26,6,32,21,710,59,31,24,3,64,105,13,19,40.6
184,Jean-Ricner Bellegarde,€21.3M,fr FRA,Wolves,"MF,FW",26-304,31,18,1486.0,2,6,3,0,1.3,3.6,47,36,81,0.12,0.48,0.08,0.22,N/a,N/a,N/a,N/a,25.0,0.3,0.10,21.7,404,79.2,6239,89.7,80.9,57.7,26,27,15,7,36,53,3.21,10,0.61,33,19,18,6,18,3,15,10,725,23,126,328,287,41,58,22.4,53.4,445,1375,47,34,10,36,23,499,81,29,39,1,38,55,8,18,30.8
185,Andrew Robertson,€20.6M,sct SCO,Liverpool,DF,31-047,30,26,2218.0,0,0,3,1,0.9,4.1,57,163,90,0.0,0.0,0.04,0.17,N/a,N/a,N/a,N/a,16.7,0.08,0.00,15.0,1405,83.2,23582,94.4,87.0,46.7,38,139,27,15,163,73,2.96,3,0.12,38,22,47,17,9,4,5,20,1877,85,475,856,559,47,18,38.9,55.6,998,2541,57,48,6,24,10,1255,90,10,7,2,131,89,6,12,33.3
186,Kevin De Bruyne,€20.4M,be BEL,Manchester City,"MF,FW",33-303,24,16,1455.0,3,7,2,0,3.4,7.6,47,128,132,0.19,0.62,0.21,0.47,N/a,N/a,N/a,N/a,27.1,0.8,0.06,21.9,756,75.6,12912,85.1,76.7,58.1,51,75,48,10,128,101,6.24,11,0.68,15,8,21,17,8,0,8,7,1153,10,70,391,702,66,30,40.0,46.7,677,1825,47,43,18,24,25,862,132,14,16,5,115,53,4,14,22.2
187,Wilfred Ndidi,€20.4M,ng NGA,Leicester City,MF,28-132,25,25,2057.0,0,4,8,0,1.8,1.8,16,64,73,0.0,0.18,0.08,0.08,N/a,N/a,N/a,N/a,40.0,0.35,0.00,14.5,715,79.3,10120,86.7,80.3,51.6,15,61,10,3,64,26,1.14,3,0.13,77,46,50,26,45,19,26,23,1223,112,407,589,238,58,30,40.0,53.3,575,977,16,21,2,34,33,716,73,38,17,3,30,114,53,51,51.0
188,Marcos Senesi,€20.3M,ar ARG,Bournemouth,DF,27-352,14,12,1008.0,0,0,5,0,0.8,0.2,12,51,5,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,6.0,493,76.7,10211,88.0,85.9,50.0,3,73,12,3,51,16,1.43,1,0.09,35,21,30,16,14,6,8,11,778,64,345,375,67,12,9,55.6,44.4,482,1464,12,14,0,5,5,492,5,19,7,0,10,67,23,27,46.0
189,Trevoh Chalobah,€20.2M,eng ENG,Crystal Palace,DF,25-296,12,12,1060.0,3,0,1,0,1.2,0.4,11,34,6,0.25,0.25,0.1,0.03,N/a,N/a,N/a,N/a,36.4,0.34,0.27,15.1,349,79.0,6831,88.7,85.2,51.2,4,27,2,1,34,11,0.93,0,0.0,20,16,23,11,19,9,10,19,594,66,275,276,51,14,10,60.0,20.0,278,661,11,9,1,4,7,317,6,10,15,1,7,56,22,19,53.7
190,Jake O'Brien,€19.7M,ie IRL,Everton,DF,23-347,17,14,1301.0,2,0,4,0,0.7,0.6,7,41,24,0.14,0.14,0.05,0.04,N/a,N/a,N/a,N/a,60.0,0.21,0.40,11.5,461,77.2,8367,88.5,78.5,63.0,6,37,8,5,41,15,1.04,0,0.0,20,14,22,8,15,4,11,4,745,61,302,313,133,18,10,40.0,50.0,315,648,7,6,2,5,5,386,24,11,4,3,17,50,33,23,58.9
191,Lewis Cook,€19.5M,eng ENG,Bournemouth,"MF,DF",28-083,32,29,2707.0,1,3,8,0,0.9,4.1,33,152,48,0.03,0.13,0.03,0.14,N/a,N/a,N/a,N/a,28.6,0.13,0.07,23.4,1128,76.6,19646,84.7,84.8,45.4,47,149,25,10,152,86,2.86,5,0.17,76,41,65,30,28,10,18,40,1768,80,412,928,447,19,17,58.8,41.2,777,2099,33,28,4,29,16,886,48,46,10,3,125,178,40,34,54.1
192,Ederson,€19.5M,br BRA,Manchester City,GK,31-253,22,22,1960.0,0,4,3,0,0.0,1.5,0,1,0,0.0,0.18,0.0,0.07,1.15,68.5,31.8,0.0,N/a,0.0,N/a,N/a,693,88.1,17056,100.0,98.3,65.7,4,20,1,0,1,6,0.28,4,0.18,0,0,2,2,0,0,0,1,833,587,824,9,0,0,0,N/a,N/a,563,1671,0,0,0,1,0,529,0,1,0,0,0,37,4,1,80.0
193,Jack Clarke,€19.4M,eng ENG,Ipswich Town,"FW,MF",24-155,28,11,1033.0,0,4,2,0,1.0,2.0,30,33,47,0.0,0.35,0.09,0.17,N/a,N/a,N/a,N/a,14.3,0.17,0.00,19.4,259,76.0,4189,87.3,84.8,46.4,23,24,6,0,33,39,3.4,5,0.44,28,17,31,15,6,0,6,7,474,22,114,194,180,32,37,56.8,32.4,264,966,30,18,9,20,16,287,47,14,20,3,13,65,7,14,33.3
194,Ola Aina,€19.3M,ng NGA,Nott'ham Forest,DF,28-201,30,30,2569.0,2,1,2,0,0.6,0.7,54,91,52,0.07,0.11,0.02,0.03,N/a,N/a,N/a,N/a,22.2,0.07,0.22,24.8,839,73.3,12948,88.1,72.8,36.1,11,78,15,7,91,50,1.75,3,0.11,53,40,58,24,32,12,20,30,1462,138,539,610,338,21,64,45.3,37.5,629,2328,54,35,10,39,21,691,52,21,32,2,42,160,12,18,40.0
195,Djed Spence,€19.2M,eng ENG,Tottenham,DF,24-261,20,15,1424.0,1,2,4,1,0.5,1.7,52,94,67,0.06,0.19,0.03,0.11,N/a,N/a,N/a,N/a,33.3,0.19,0.11,22.3,850,86.8,12151,94.0,87.3,57.7,10,72,16,7,94,25,1.58,4,0.25,38,29,25,6,22,9,13,17,1186,63,395,542,268,24,66,51.5,37.9,687,2244,52,39,7,24,24,755,67,18,23,2,22,84,17,12,58.6
196,Mads Hermansen,€19.2M,dk DEN,Leicester City,GK,24-290,27,27,2385.0,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.19,64.5,3.7,25.0,N/a,0.0,N/a,N/a,655,61.0,17161,97.4,94.8,33.0,0,20,1,0,1,3,0.11,0,0.0,1,1,1,0,1,0,1,0,1148,832,1107,43,0,0,1,100.0,0.0,731,1903,0,0,0,1,0,623,0,0,3,0,0,17,4,1,80.0
197,Konstantinos Mavropanos,€19.1M,gr GRE,West Ham,DF,27-137,30,20,1944.0,0,0,6,1,1.5,0.5,16,59,2,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,27.8,0.23,0.00,14.7,1011,85.9,20025,91.4,92.2,59.2,5,60,4,1,59,16,0.74,0,0.0,32,22,25,11,23,17,6,38,1429,222,744,631,62,24,17,52.9,29.4,783,2128,16,10,1,12,0,935,2,17,14,3,2,67,56,24,70.0
198,Andreas Pereira,€18.9M,br BRA,Fulham,MF,29-116,31,23,1879.0,2,4,7,0,3.5,4.5,27,99,78,0.1,0.29,0.17,0.21,N/a,N/a,N/a,N/a,22.9,0.38,0.06,22.1,641,68.9,11658,83.6,78.3,41.0,56,64,19,4,99,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,27,35,8,26,21,648,78,27,23,1,168,97,12,22,35.3
199,Nicolás Domínguez,€18.8M,ar ARG,Nott'ham Forest,"MF,FW",26-303,29,19,1624.0,0,1,8,0,1.4,1.3,12,63,24,0.0,0.06,0.08,0.07,N/a,N/a,N/a,N/a,38.9,0.39,0.00,19.0,686,87.1,9888,91.5,89.8,60.0,13,68,8,0,63,29,1.61,0,0.0,75,40,63,34,34,11,23,26,1020,68,260,533,236,24,8,37.5,37.5,378,750,12,10,2,18,9,554,24,29,15,1,2,99,20,19,51.3
200,Aaron Ramsdale,€18.7M,eng ENG,Southampton,GK,26-348,26,26,2340.0,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,N/a,0.0,N/a,N/a,691,64.5,19426,99.5,96.0,38.8,0,32,1,0,0,3,0.12,0,0.0,0,0,2,2,0,0,0,2,1154,835,1133,24,0,0,0,N/a,N/a,702,2089,0,0,0,2,0,629,0,1,4,0,0,19,5,0,100.0
201,Toti Gomes,€18.6M,pt POR,Wolves,DF,26-101,27,26,2254.0,0,1,6,0,0.7,0.9,21,67,13,0.0,0.04,0.03,0.04,N/a,N/a,N/a,N/a,28.6,0.08,0.00,11.6,1228,85.2,20581,91.6,92.1,50.0,8,71,5,3,67,20,0.8,1,0.04,51,37,35,7,27,17,10,22,1711,198,811,827,92,15,26,65.4,26.9,990,2583,21,18,0,16,13,1160,13,22,14,4,12,95,47,24,66.2
202,Cameron Archer,€18.6M,eng ENG,Southampton,FW,23-280,31,13,1361.0,2,0,0,0,5.1,0.4,19,14,62,0.13,0.13,0.34,0.02,N/a,N/a,N/a,N/a,33.3,0.6,0.07,13.1,190,81.2,2503,85.6,91.5,55.6,3,6,7,0,14,17,1.13,0,0.0,11,7,9,7,5,1,4,2,361,16,59,162,143,49,31,45.2,51.6,207,499,19,9,14,33,24,252,62,16,12,7,3,34,8,27,22.9
203,Kamaldeen Sulemana,€18.5M,gh GHA,Southampton,"FW,MF",23-071,22,13,1122.0,1,1,1,0,1.3,0.7,56,25,72,0.08,0.16,0.11,0.06,N/a,N/a,N/a,N/a,32.0,0.64,0.04,18.5,235,79.1,3417,89.7,81.6,42.3,9,6,11,6,25,27,2.17,3,0.24,16,14,13,5,9,0,9,6,483,13,64,178,259,48,90,36.7,55.6,313,1369,56,34,23,37,22,338,72,18,10,2,24,51,8,20,28.6
204,Mohamed Salah,€18.3M,eg EGY,Liverpool,FW,32-316,33,33,2921.0,27,18,1,0,23.7,12.1,138,127,407,0.83,1.39,0.73,0.37,N/a,N/a,N/a,N/a,43.0,1.42,0.17,14.7,785,71.3,11755,83.8,69.6,61.6,75,49,80,13,127,144,4.44,24,0.74,20,11,14,7,11,0,11,7,1481,10,87,446,967,310,120,45.0,52.5,1012,3209,138,54,110,102,60,1236,407,22,33,15,64,90,9,12,42.9
205,Yehor Yarmoliuk,€18M,ua UKR,Brentford,MF,21-057,26,10,1039.0,0,0,4,0,0.6,0.3,12,45,42,0.0,0.0,0.05,0.02,N/a,N/a,N/a,N/a,22.2,0.17,0.00,15.9,471,86.1,8216,87.3,88.8,84.7,6,56,6,3,45,18,1.56,2,0.17,34,22,43,22,23,6,17,9,703,45,195,359,164,14,20,45.0,45.0,365,605,12,14,2,23,16,434,42,11,8,2,13,83,7,5,58.3
206,Emmanuel Agbadou,€18M,ci CIV,Wolves,DF,27-314,12,12,1050.0,0,0,2,0,0.3,0.2,3,21,1,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.09,0.00,32.6,591,84.3,12101,91.6,92.2,59.7,4,22,1,0,21,15,1.29,2,0.17,25,17,17,6,15,11,4,9,837,138,470,352,21,4,10,70.0,20.0,499,1057,3,3,0,3,3,543,1,5,4,1,1,62,21,15,58.3
207,Jacob Murphy,€17.9M,eng ENG,Newcastle Utd,FW,30-062,31,27,2084.0,8,11,3,0,5.6,8.1,69,63,210,0.35,0.82,0.24,0.35,N/a,N/a,N/a,N/a,36.6,0.65,0.20,18.1,593,68.2,8971,84.1,66.9,42.9,38,46,35,15,63,73,3.16,14,0.61,22,15,30,14,31,0,31,11,1111,20,158,408,556,82,61,49.2,47.5,650,2055,69,31,24,30,33,802,210,11,14,3,108,88,4,15,21.1
208,Issa Diop,€17.9M,fr FRA,Fulham,DF,28-108,21,15,1339.0,0,0,2,0,0.5,0.1,6,25,3,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,40.0,0.13,0.00,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,25,6,0.4,0,0.0,26,12,18,5,10,7,3,9,903,125,498,381,26,13,2,50.0,50.0,533,1216,6,2,0,9,2,617,3,10,4,0,1,45,20,12,62.5
209,Jack Harrison,€17.9M,eng ENG,Everton,FW,28-158,30,22,1887.0,1,0,0,0,3.3,3.7,62,45,116,0.05,0.05,0.16,0.18,N/a,N/a,N/a,N/a,22.2,0.29,0.04,16.3,374,63.2,5976,81.4,68.6,34.0,32,26,24,10,45,53,2.53,4,0.19,30,21,40,26,18,2,16,9,862,31,144,304,421,62,71,31.0,57.7,473,1439,62,32,14,50,37,556,116,13,26,4,115,65,4,26,13.3
210,Dominic Calvert-Lewin,€17.8M,eng ENG,Everton,FW,28-042,22,19,1574.0,3,1,2,0,6.1,0.6,22,19,105,0.17,0.23,0.35,0.04,N/a,N/a,N/a,N/a,37.0,0.97,0.07,12.3,174,62.6,2035,70.0,58.3,37.5,7,19,5,1,19,25,1.43,4,0.23,9,7,6,4,6,2,4,6,491,21,38,204,254,82,25,40.0,52.0,268,444,22,8,16,71,32,402,105,27,22,27,6,32,83,79,51.2
211,Ryan Yates,€17.5M,eng ENG,Nott'ham Forest,MF,27-157,30,17,1775.0,2,1,9,0,2.3,1.1,17,45,12,0.1,0.15,0.11,0.06,N/a,N/a,N/a,N/a,29.0,0.46,0.06,18.9,559,82.1,8140,88.8,85.8,55.3,17,44,4,0,45,35,1.77,3,0.15,40,21,36,19,34,8,26,25,948,74,253,463,242,38,18,50.0,27.8,380,850,17,18,1,23,18,490,12,49,46,6,3,89,43,30,58.9
212,Kalvin Phillips,€17.3M,eng ENG,Ipswich Town,MF,29-146,18,14,1214.0,0,0,6,1,0.4,0.2,4,49,4,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,20.0,0.15,0.00,24.2,426,79.3,8392,82.9,86.6,62.1,5,48,6,1,49,17,1.26,3,0.22,34,19,38,23,35,6,29,19,722,60,220,388,118,4,12,41.7,50.0,302,541,4,5,0,24,10,383,4,28,19,0,18,68,7,21,25.0
213,Oliver Skipp,€17.1M,eng ENG,Leicester City,MF,24-223,20,7,907.0,0,0,7,0,0.1,0.3,15,29,18,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,25.0,0.1,0.00,21.8,348,84.5,5290,88.2,93.0,63.3,9,28,4,0,29,14,1.39,0,0.0,17,4,14,6,15,3,12,9,499,23,109,314,80,7,11,54.5,45.5,290,564,15,7,3,11,5,346,18,17,13,0,4,37,10,5,66.7
214,Timothy Castagne,€16.8M,be BEL,Fulham,DF,29-143,23,17,1625.0,0,1,1,0,0.4,1.2,17,61,67,0.0,0.06,0.02,0.07,N/a,N/a,N/a,N/a,37.5,0.17,0.00,14.0,768,81.8,12239,89.9,85.8,49.3,9,51,5,3,61,25,1.38,3,0.17,46,29,45,19,15,6,9,22,1149,91,444,458,253,32,12,41.7,41.7,542,1043,17,15,2,15,5,657,67,15,6,1,37,55,34,35,49.3
215,Kyle Walker-Peters,€16.6M,eng ENG,Southampton,DF,28-014,32,32,2828.0,0,2,5,0,0.8,2.7,110,134,139,0.0,0.06,0.02,0.09,N/a,N/a,N/a,N/a,30.0,0.19,0.00,18.3,1451,88.0,21836,93.8,89.7,60.4,23,117,29,4,134,61,1.94,7,0.22,43,28,34,18,25,14,11,18,1972,149,603,856,529,58,88,40.9,44.3,1225,4221,110,68,23,33,37,1390,139,28,49,2,51,130,11,21,34.4
216,Caleb Okoli,€16.6M,it ITA,Leicester City,DF,23-288,18,12,1124.0,1,0,4,0,0.6,0.0,3,32,2,0.08,0.08,0.05,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,32,4,0.32,0,0.0,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,1106,3,6,0,10,2,483,2,16,9,0,1,44,23,21,52.3
217,Virgil van Dijk,€16.6M,nl NED,Liverpool,DF,33-293,33,33,2970.0,2,1,3,0,1.9,0.7,18,172,6,0.06,0.09,0.06,0.02,N/a,N/a,N/a,N/a,30.4,0.21,0.09,12.7,2371,91.5,43424,95.9,95.4,68.0,11,258,5,0,172,44,1.33,4,0.12,34,16,20,9,22,12,10,52,2915,383,1152,1624,147,44,5,60.0,40.0,1640,4329,18,20,3,8,5,1996,6,15,12,0,1,104,109,44,71.2
218,James Justin,€16.4M,eng ENG,Leicester City,DF,27-063,32,30,2579.0,2,1,5,0,1.5,0.6,37,86,92,0.07,0.1,0.05,0.02,N/a,N/a,N/a,N/a,25.0,0.21,0.08,16.0,1051,77.6,16206,86.4,84.1,34.7,13,71,21,7,86,31,1.08,1,0.03,48,29,49,22,39,13,26,42,1713,131,594,767,362,37,29,31.0,44.8,770,1577,37,25,4,31,13,951,92,21,34,2,53,75,58,46,55.8
219,Ryan Christie,€16.2M,sct SCO,Bournemouth,MF,30-064,29,27,2117.0,2,3,9,0,1.8,3.5,34,137,44,0.09,0.21,0.08,0.15,N/a,N/a,N/a,N/a,36.4,0.51,0.06,19.6,837,79.3,14882,88.2,87.9,48.8,41,118,33,5,137,85,3.62,9,0.38,54,33,64,37,44,11,33,30,1376,74,256,773,372,46,48,47.9,45.8,726,1773,34,40,8,44,25,777,44,43,31,1,48,182,20,28,41.7
220,Bernd Leno,€16M,de GER,Fulham,GK,33-054,34,34,3060.0,0,1,4,0,0.0,0.1,0,0,0,0.0,0.03,0.0,0.0,1.35,68.3,14.7,0.0,N/a,0.0,N/a,N/a,1030,81.2,25098,99.5,98.9,46.9,2,15,2,0,0,5,0.15,2,0.06,2,2,2,0,1,0,1,0,1328,1066,1318,10,0,0,0,N/a,N/a,879,1987,0,0,0,0,0,781,0,0,3,0,0,47,9,0,100.0
221,Yukinari Sugawara,€15.8M,jp JPN,Southampton,"DF,MF",24-303,29,15,1467.0,1,1,4,0,0.5,2.2,32,68,76,0.06,0.12,0.03,0.14,N/a,N/a,N/a,N/a,38.5,0.31,0.08,19.2,689,79.9,10831,88.2,82.9,47.9,17,43,21,9,68,39,2.39,1,0.06,29,16,30,12,17,7,10,10,1023,61,306,395,327,29,20,45.0,50.0,553,1354,32,15,7,18,4,692,76,15,9,4,69,40,5,9,35.7
222,Chris Richards,€15.7M,us USA,Crystal Palace,DF,25-030,20,18,1562.0,1,0,4,1,1.2,0.1,5,34,1,0.06,0.06,0.07,0.01,N/a,N/a,N/a,N/a,50.0,0.29,0.10,11.8,583,81.1,10347,89.2,90.3,44.2,2,20,0,0,34,7,0.4,2,0.12,42,27,38,15,35,13,22,10,935,111,513,371,56,15,6,16.7,83.3,433,850,5,5,0,5,5,525,1,11,4,1,1,48,33,35,48.5
223,James Tarkowski,€15.5M,eng ENG,Everton,DF,32-159,33,33,2922.0,1,1,6,0,1.3,2.9,9,75,3,0.03,0.06,0.04,0.09,N/a,N/a,N/a,N/a,26.7,0.12,0.07,8.4,1045,81.0,22119,84.5,91.9,62.7,16,83,11,0,75,38,1.17,4,0.12,64,40,39,15,57,42,15,41,1706,355,974,635,106,57,7,71.4,28.6,727,1943,9,10,0,13,7,927,3,35,28,2,1,98,102,33,75.6
224,Jens Cajuste,€15.4M,se SWE,Ipswich Town,MF,25-260,26,23,1774.0,1,0,2,0,0.5,0.6,23,46,16,0.05,0.05,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.05,0.10,21.3,572,82.4,9440,88.8,85.7,50.0,11,45,5,1,46,30,1.52,1,0.05,39,19,47,28,24,9,15,25,904,59,261,475,182,11,45,53.3,33.3,420,1175,23,21,3,21,14,521,16,21,21,0,9,98,12,20,37.5
225,Boubakary Soumaré,€15.3M,fr FRA,Leicester City,MF,26-059,27,23,1953.0,0,0,8,0,0.3,0.4,31,94,21,0.0,0.0,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.4,982,86.7,14896,92.1,87.4,70.4,11,90,13,2,94,34,1.57,3,0.14,33,18,30,12,19,7,12,24,1318,62,348,833,150,17,44,61.4,29.5,786,1883,31,16,3,20,21,925,21,21,21,0,8,130,19,9,67.9
226,Daichi Kamada,€15.1M,jp JPN,Crystal Palace,MF,28-265,30,13,1338.0,0,0,3,1,1.0,1.8,23,73,52,0.0,0.0,0.07,0.12,N/a,N/a,N/a,N/a,23.5,0.27,0.00,19.4,511,79.5,8122,87.9,82.0,55.1,19,39,13,2,73,46,3.09,3,0.2,43,25,37,25,19,4,15,16,804,18,172,420,217,28,13,30.8,53.8,403,949,23,17,4,13,18,518,52,25,17,2,27,67,3,12,20.0
227,Lucas Digne,€14.8M,fr FRA,Aston Villa,DF,31-281,30,27,2241.0,0,4,4,0,0.8,4.4,23,54,140,0.0,0.16,0.03,0.17,N/a,N/a,N/a,N/a,23.1,0.12,0.00,22.7,924,75.0,14998,88.2,78.6,39.7,35,43,29,18,54,63,2.53,5,0.2,62,36,62,20,23,4,19,25,1473,90,510,449,524,28,19,47.4,47.4,669,1319,23,14,4,17,15,804,140,20,14,7,138,98,34,26,56.7
228,Thomas Partey,€14.7M,gh GHA,Arsenal,"MF,DF",31-318,31,27,2437.0,4,2,4,0,2.0,1.9,31,165,45,0.15,0.22,0.07,0.07,N/a,N/a,N/a,N/a,30.4,0.26,0.17,19.5,1486,87.7,23752,93.0,89.0,67.2,17,146,33,2,165,56,2.07,13,0.48,79,48,68,25,23,7,16,32,1928,64,401,1061,477,27,30,66.7,26.7,1087,3091,31,36,3,20,14,1373,45,39,27,1,12,120,26,21,55.3
229,Harry Wilson,€14.5M,wls WAL,Fulham,"FW,MF",28-036,21,9,937.0,5,1,2,0,3.3,1.1,16,46,79,0.48,0.58,0.31,0.1,N/a,N/a,N/a,N/a,31.0,0.86,0.17,17.7,279,73.6,4685,84.6,78.4,44.1,19,23,13,1,46,36,3.46,3,0.29,13,8,15,6,13,1,12,5,485,7,62,175,257,45,24,37.5,41.7,288,669,16,19,8,13,5,326,79,10,18,1,35,44,4,18,18.2
230,Sammie Szmodics,€14.1M,ie IRL,Ipswich Town,"FW,MF",29-215,19,13,979.0,4,0,2,0,3.4,0.2,16,18,46,0.37,0.37,0.31,0.02,N/a,N/a,N/a,N/a,57.1,1.1,0.19,14.0,144,74.2,2402,87.0,84.4,51.7,4,10,4,1,18,9,0.83,0,0.0,15,9,23,17,10,2,8,6,309,17,80,119,116,33,12,33.3,50.0,174,399,16,8,7,24,17,189,46,9,8,8,13,41,6,11,35.3
231,Mark Flekken,€13.9M,nl NED,Brentford,GK,31-318,32,32,2825.0,0,1,1,0,0.0,0.2,0,0,0,0.0,0.03,0.0,0.01,1.53,73.3,15.6,0.0,N/a,0.0,N/a,N/a,1113,73.3,32882,97.8,97.4,50.1,2,44,2,0,0,7,0.22,1,0.03,4,4,9,6,2,0,2,0,1616,1261,1569,52,0,0,1,100.0,0.0,987,2803,0,0,0,3,0,905,0,0,3,0,0,35,4,0,100.0
