,Player,Values,Nation,Team,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xGA/90,GA90,Save%,CS%,PSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,SCmp%,MCmp%,LCmpt%,KP,1/3(passing),PPA,CrsPA,PrgP(passing),SCA,SCA90,GCA,GCA90,Tkl,TklW,Att(defense),Lost(defense),Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att(possession),Succ%,Tkld%,Carries,PrgDist,PrgC(possession),1/3(possession),CPA,Mis,Dis,Rec,PrgR(possession),Fls,Fld,Off,Crs,Recov,Won,Lost,Won%
49,Darwin Núñez,€59.7M,uy URU,Liverpool,FW,25-307,25,8,1010.0,5,2,8,0,5.0,1.2,20,25,67,0.45,0.62,0.44,0.11,N/a,N/a,N/a,N/a,38.7,1.07,0.16,14.3,144,70.2,2149,80.4,72.9,66.7,9,9,2,0,25,24,2.13,4,0.36,18,15,15,10,6,0,6,3,326,10,43,110,183,60,21,38.1,57.1,175,492,20,16,10,21,17,216,67,26,14,11,2,37,15,29,34.1
50,Destiny Udogie,€59.4M,it ITA,Tottenham,DF,22-150,23,22,1744.0,0,1,2,0,0.3,1.4,51,117,92,0.0,0.05,0.02,0.07,N/a,N/a,N/a,N/a,20.0,0.05,0.00,15.1,915,87.5,13224,91.2,90.6,81.5,15,86,6,1,117,33,1.7,3,0.15,71,44,45,13,37,5,32,19,1287,57,353,572,376,48,30,40.0,50.0,714,2187,51,38,11,31,19,778,92,29,36,2,19,103,13,13,50.0
51,Alejandro Garnacho,€59.2M,ar ARG,Manchester Utd,"MF,FW",20-300,32,21,1966.0,5,1,2,0,6.2,3.5,130,50,260,0.23,0.27,0.28,0.16,N/a,N/a,N/a,N/a,37.0,1.24,0.07,16.9,579,79.3,8106,89.5,82.9,56.5,29,19,21,3,50,69,3.16,4,0.18,28,18,33,22,17,0,17,11,1033,13,118,329,603,152,82,29.3,62.2,748,2922,130,66,63,57,46,793,260,10,38,9,47,102,3,23,11.5
52,Marcus Rashford,€58.6M,eng ENG,Manchester Utd,"FW,MF",27-178,15,12,978.0,4,1,2,0,1.7,2.1,20,21,79,0.37,0.46,0.16,0.19,N/a,N/a,N/a,N/a,56.3,0.83,0.25,16.4,253,73.8,3508,83.6,65.9,50.0,15,13,16,8,21,29,2.67,1,0.09,7,4,9,6,8,0,8,4,440,3,35,189,222,34,39,23.1,66.7,293,728,20,19,12,14,6,341,79,8,7,7,27,24,5,7,41.7
53,Diogo Jota,€58.6M,pt POR,Liverpool,FW,28-144,22,13,1074.0,6,3,2,0,7.3,1.8,36,33,85,0.5,0.75,0.61,0.15,N/a,N/a,N/a,N/a,28.9,1.09,0.13,12.4,193,68.7,2864,75.5,73.3,57.9,11,28,3,1,33,35,2.94,9,0.75,13,7,19,12,9,0,9,6,436,5,28,180,235,88,30,36.7,60.0,240,753,36,21,20,36,21,304,85,18,12,1,8,38,21,28,42.9
54,Bryan Mbeumo,€57.6M,cm CMR,Brentford,FW,25-263,33,33,2964.0,18,6,2,0,10.6,7.8,110,125,300,0.55,0.73,0.32,0.24,N/a,N/a,N/a,N/a,45.5,0.91,0.20,17.7,763,67.3,12187,79.7,72.8,38.1,63,52,55,16,125,129,3.92,17,0.52,41,26,29,12,21,3,18,14,1523,47,216,483,851,137,93,45.2,41.9,924,3035,110,61,64,87,38,1034,300,22,40,11,171,137,31,68,31.3
55,James Maddison,€57.3M,eng ENG,Tottenham,MF,28-155,30,20,1764.0,9,6,6,0,5.8,4.1,43,160,92,0.46,0.77,0.3,0.21,N/a,N/a,N/a,N/a,43.6,0.87,0.23,16.7,1001,81.3,16292,90.9,86.0,45.9,39,121,32,5,160,92,4.7,17,0.87,30,18,28,19,15,4,11,11,1438,25,207,677,567,76,74,41.9,44.6,1010,2227,43,39,19,23,24,1112,92,31,63,4,95,73,5,7,41.7
56,Ibrahima Konaté,€57.2M,fr FRA,Liverpool,DF,25-337,27,26,2230.0,1,2,5,0,1.6,1.0,21,102,2,0.04,0.12,0.07,0.04,N/a,N/a,N/a,N/a,17.6,0.12,0.06,10.4,1513,90.5,28014,93.7,95.1,57.0,10,122,8,0,102,28,1.13,7,0.28,36,25,34,10,27,15,12,11,1917,207,818,999,106,21,4,50.0,25.0,1137,3020,21,13,0,8,2,1386,2,24,18,0,0,84,68,28,70.8
57,Dean Huijsen,€56.3M,es ESP,Bournemouth,DF,20-013,27,22,2054.0,2,1,7,0,1.7,2.0,35,107,10,0.09,0.13,0.08,0.09,N/a,N/a,N/a,N/a,11.8,0.09,0.12,12.3,1120,84.0,22710,89.2,91.4,62.0,14,138,7,2,107,38,1.67,3,0.13,33,23,25,10,33,25,8,49,1672,217,764,799,118,29,5,40.0,60.0,910,3569,35,23,0,16,1,1024,10,26,9,2,12,91,61,41,59.8
58,Pedro Porro,€55.9M,es ESP,Tottenham,DF,25-226,31,26,2463.0,2,6,4,0,1.5,4.0,63,147,106,0.07,0.29,0.06,0.15,N/a,N/a,N/a,N/a,21.6,0.29,0.05,23.1,1324,73.5,23083,87.5,79.3,44.2,54,120,55,26,147,104,3.8,8,0.29,63,46,73,31,44,17,27,34,2131,124,623,772,749,30,39,33.3,61.5,1132,2677,63,40,5,23,17,1229,106,24,30,1,191,148,11,22,33.3
